Song, Artist, Album Image Source
"Last Night", "Morgan Wallen", "https://charts-static.billboard.com/img/2016/08/morgan-wallen-nlu-180x180.jpg"
"Fast Car", "Luke Combs", "https://charts-static.billboard.com/img/2015/07/luke-combs-9dm-180x180.jpg"
"Vampire", "Olivia Rodrigo", "https://charts-static.billboard.com/img/2023/06/oliviarodrigo-3wl-vampire-q3w-180x180.jpg"
"Calm Down", "Rema & Selena Gomez", "https://charts-static.billboard.com/img/2022/02/rema-000-calmdown-5vt-180x180.jpg"
"I Can See You (Taylor's Version) (From The Vault)", "Taylor Swift", "https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg"
"Flowers", "Miley Cyrus", "https://charts-static.billboard.com/img/2023/01/miley-cyrus-jca-flowers-rqa-180x180.jpg"
"Fukumean", "Gunna", "https://charts-static.billboard.com/img/2016/09/gunna-czg-180x180.jpg"
"All My Life", "Lil Durk Feat. J. Cole", "https://charts-static.billboard.com/img/2013/06/lil-durk-hvd-180x180.jpg"
"Cruel Summer", "Taylor Swift", "https://charts-static.billboard.com/img/2019/08/taylor-swift-824-cruelsummer-mg7-180x180.jpg"
"Karma", "Taylor Swift Feat. Ice Spice", "https://charts-static.billboard.com/img/2022/10/taylor-swift-824-karma-5at-180x180.jpg"
"Kill Bill", "SZA", "https://charts-static.billboard.com/img/2022/12/sza-mhq-killbill-6i8-180x180.jpg"
"Snooze", "SZA", "https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg"
"Favorite Song", "Toosii", "https://charts-static.billboard.com/img/2023/03/toosii-h46-favoritesong-tzc-180x180.jpg"
"Creepin'", "Metro Boomin, The Weeknd & 21 Savage", "https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg"
"Mine (Taylor's Version)", "Taylor Swift", "https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg"
"Back To December (Taylor's Version)", "Taylor Swift", "https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg"
"Need A Favor", "Jelly Roll", "https://charts-static.billboard.com/img/2022/12/jelly-roll-z4p-needafavor-04i-180x180.jpg"
"Sure Thing", "Miguel", "https://charts-static.billboard.com/img/2011/02/miguel-rp9-surething-2f5-180x180.jpg"
"Enchanted (Taylor's Version)", "Taylor Swift", "https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg"
"Anti-Hero", "Taylor Swift", "https://charts-static.billboard.com/img/2022/10/taylor-swift-824-antihero-fgo-180x180.jpg"
"Something In The Orange", "Zach Bryan", "https://charts-static.billboard.com/img/2022/05/zach-bryan-cfd-something-in-the-orange-ynj-180x180.jpg"
"Sparks Fly (Taylor's Version)", "Taylor Swift", "https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg"
"Ella Baila Sola", "Eslabon Armado X Peso Pluma", "https://charts-static.billboard.com/img/2023/04/eslabon-armado-4py-ellabailasola-2jo-180x180.jpg"
"Die For You", "The Weeknd & Ariana Grande", "https://charts-static.billboard.com/img/2016/12/the-weeknd-jlk-dieforyou-ix0-180x180.jpg"
"You Proof", "Morgan Wallen", "https://charts-static.billboard.com/img/2022/05/morgan-wallen-nlu-you-proof-uu4-180x180.jpg"
"Dear John (Taylor's Version)", "Taylor Swift", "https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg"
"Cupid", "Fifty Fifty", "https://charts-static.billboard.com/img/2023/03/fifty-fifty-000-cupid-vyn-180x180.jpg"
"Better Than Revenge (Taylor's Version)", "Taylor Swift", "https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg"
"Religiously", "Bailey Zimmerman", "https://charts-static.billboard.com/img/2023/04/baileyzimmerman-qt3-religiously-jbx-180x180.jpg"
"Thinkin' Bout Me", "Morgan Wallen", "https://charts-static.billboard.com/img/2016/08/morgan-wallen-nlu-180x180.jpg"
